add-car.html: manifest=True, sw-register=True
confirm.html: manifest=True, sw-register=True
dashboard.html: manifest=True, sw-register=True
details.html: manifest=True, sw-register=True
edit-car.html: manifest=True, sw-register=True
filter.html: manifest=True, sw-register=True
forgot-password.html: manifest=True, sw-register=True
index.html: manifest=True, sw-register=True
login.html: manifest=True, sw-register=True
manage.html: manifest=True, sw-register=True
messages.html: manifest=True, sw-register=True
my-account.html: manifest=True, sw-register=True
offline.html: manifest=True, sw-register=True
register.html: manifest=True, sw-register=True
results.html: manifest=True, sw-register=True
sell.html: manifest=True, sw-register=True
signup.html: manifest=True, sw-register=True
terms.html: manifest=True, sw-register=True
